route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,633,4.6,6 Seats available
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:30,06h 50m,05:20,730,4.6,13 Seats available
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,07h 00m,06:25,600,4.5,6 Seats available
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18 Seats available
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,06h 50m,05:35,364,4.6,15 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:00,06h 55m,05:55,480,4.6,18 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13 Seats available
"Kakinada to Visakhapatnam
From INR 239",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Vahini Travels,NON A/C Push Back (2+2),23:55,04h 05m,04:00,444,3.8,7 Seats available
"Visakhapatnam to Kakinada
From INR 239",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Sri Tulasi Tours and Travels,Non A/C Seater / Sleeper (2+1),22:00,03h 30m,01:30,599,3.4,13 Seats available
"Visakhapatnam to Kakinada
From INR 239",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:40,03h 50m,02:30,499,3.4,11 Seats available
"Visakhapatnam to Kakinada
From INR 239",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Navayuga Travels,A/C Sleeper (2+1),22:00,04h 10m,02:10,1090,3.5,5 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,APSRTC - 5528,Super Luxury (Non AC Seater 2+2 Push Back),23:59,05h 16m,05:15,304,4.3,2 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),23:30,04h 40m,04:10,604,4.6,3 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Sai Sindhu Travels,A/C Classy Seater (2+2),00:30,04h 00m,04:30,600,3.2,22 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Varsha Travels,AC Seater (2+2),23:30,04h 45m,04:15,599,1.0,22 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Varsha Travels,A/C Sleeper (2+1),23:45,05h 15m,05:00,1999,1.0,30 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,APSRTC - 5272,Super Luxury (Non AC Seater 2+2 Push Back),23:50,06h 10m,06:00,439,3.4,2 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,HARITHA TRAVELS,Non A/C Seater / Sleeper (2+1),23:00,06h 25m,05:25,1000,3.8,3 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,HARITHA TRAVELS,A/C Seater / Sleeper (2+1),23:00,06h 25m,05:25,997,3.7,32 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),23:45,06h 45m,06:30,899,3.9,9 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Sri Vengamamba Bus Transport (SVBT),Non A/C Seater / Sleeper (2+1),23:55,05h 05m,05:00,825,3.7,1 Seat available
"Anantapur (andhra pradesh) to Bangalore
From INR 307",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,TSRTC - 1001,LAHARI A/C SLEEPER CUM SEATER,23:35,03h 45m,03:20,494,2.5,5 Seats available
"Anantapur (andhra pradesh) to Bangalore
From INR 307",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,YAS TOURS AND TRAVELS,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),20:25,03h 20m,23:45,900,4.7,3 Seats available
"Anantapur (andhra pradesh) to Bangalore
From INR 307",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Kallada Travels (Suresh Kallada),Volvo Multi-Axle I-Shift A/C Semi Sleeper (2+2),21:25,03h 00m,00:25,700,3.7,28 Seats available
"Anantapur (andhra pradesh) to Bangalore
From INR 307",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:35,03h 25m,03:00,900,4.6,6 Seats available
"Anantapur (andhra pradesh) to Bangalore
From INR 307",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),21:45,03h 30m,01:15,1200,4.7,10 Seats available
"Tirupati to Bangalore
From INR 280",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,NueGo,Electric A/C Seater (2+2),22:05,06h 05m,04:10,605,4.3,3 Seats available
"Tirupati to Bangalore
From INR 280",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,RK Travels,Non A/C Seater / Sleeper (2+1),22:30,05h 50m,04:20,799,3.5,6 Seats available
"Tirupati to Bangalore
From INR 280",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,RK Travels,Non A/C Seater / Sleeper (2+1),22:40,07h 20m,06:00,799,3.3,13 Seats available
"Tirupati to Bangalore
From INR 280",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13 Seats available
"Tirupati to Bangalore
From INR 280",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10 Seats available
"Visakhapatnam to Vijayawada
From INR 549",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,TSRTC - 9808,Lahari A/C sleeper,20:15,07h 45m,04:00,1213,4.7,26 Seats available
