route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Tezpur to Guwahati
From INR 260",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,400,3.2,5 Seats available
"Tezpur to Guwahati
From INR 260",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON A/C Seater (2+2),23:40,04h 20m,04:00,450,2.1,7 Seats available
"Guwahati to Tezpur
From INR 275",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:15,04h 00m,01:15,450,3.5,2 Seats available
"Guwahati to Tezpur
From INR 275",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,04h 15m,02:00,450,3.9,1 Seat available
"Guwahati to Tezpur
From INR 275",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,DESTINY TRAVELS,NON A/C Seater (2+1),19:05,28h 25m,23:30,408,N/A,2 Seats available
"Guwahati to Tezpur
From INR 275",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,05h 15m,01:15,500,2.6,8 Seats available
"Guwahati to Nagaon (Assam)
From INR 194",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Megha Transport,Bharat Benz NON A/C Seater / Sleeper (2+1),19:30,02h 45m,22:15,500,3.7,3 Seats available
"Guwahati to Nagaon (Assam)
From INR 194",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,NON A/C Seater (2+1),19:40,26h 10m,21:50,428,N/A,3 Seats available
"Dhubri to Guwahati
From INR 418",https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),20:15,07h 15m,03:30,350,2.8,5 Seats available
"Tezpur to Dibrugarh
From INR 408",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),20:00,08h 00m,04:00,550,3.5,9 Seats available
"Tezpur to Dibrugarh
From INR 408",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,NON AC Seater / Sleeper 2+1,20:00,08h 30m,04:30,550,3.5,6 Seats available
"Tezpur to Dibrugarh
From INR 408",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,06h 30m,04:00,600,N/A,5 Seats available
"Tezpur to Dibrugarh
From INR 408",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:45,08h 15m,04:00,470,2.0,14 Seats available
"Tezpur to Dibrugarh
From INR 408",https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,J.S. Travels,Non AC Seater (2+1),21:00,07h 00m,04:00,550,2.3,32 Seats available
"North Lakhimpur to Dibrugarh
From INR 240",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,06h 00m,03:00,400,3.8,35 Seats available
"Dibrugarh to Tezpur
From INR 475",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Puja Transport,NON AC Seater / Sleeper 2+1,20:00,09h 00m,05:00,650,3.8,1 Seat available
"Dibrugarh to Tezpur
From INR 475",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),20:00,08h 00m,04:00,550,3.1,2 Seats available
"Dibrugarh to Tezpur
From INR 475",https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:50,08h 40m,04:30,470,3.0,2 Seats available
"Guwahati to Biswanath Charali
From INR 420",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:15,05h 45m,03:00,500,4.3,2 Seats available
"Guwahati to Biswanath Charali
From INR 420",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,05h 15m,03:00,500,4.1,1 Seat available
"Guwahati to Biswanath Charali
From INR 420",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,DESTINY TRAVELS,NON A/C Seater (2+1),19:40,28h 44m,00:24,457,N/A,5 Seats available
"Guwahati to Biswanath Charali
From INR 420",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,06h 00m,02:00,550,1.9,8 Seats available
"Guwahati to Biswanath Charali
From INR 420",https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19 Seats available
"Guwahati to Haflong
From INR 533",https://www.redbus.in/bus-tickets/guwahati-to-haflong,NETWORK TRAVELS,NON A/C Seater (2+1),19:30,11h 30m,07:00,600,4.5,4 Seats available
"Guwahati to Haflong
From INR 533",https://www.redbus.in/bus-tickets/guwahati-to-haflong,Deep Travels,Non AC Seater (2+1),19:30,11h 00m,06:30,650,3.6,11 Seats available
"Dibrugarh to North Lakhimpur
From INR 240",https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Air Bus Travels,NON AC Seater / Sleeper 2+1,21:15,04h 45m,02:00,400,2.3,24 Seats available
"Bokakhat to Dibrugarh
From INR 278",https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),23:15,04h 45m,04:00,550,2.9,12 Seats available
"Bokakhat to Dibrugarh
From INR 278",https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),23:30,04h 30m,04:00,500,2.7,44 Seats available
"Tezpur to North Lakhimpur
From INR 340",https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,DESTINY TRAVELS,NON A/C Seater (2+1),23:30,04h 15m,03:45,437,N/A,5 Seats available
"Tezpur to Tinsukia
From INR 475",https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),20:00,08h 45m,04:45,550,3.2,9 Seats available
"Tezpur to Tinsukia
From INR 475",https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),19:45,09h 15m,05:00,500,3.2,12 Seats available
"Tezpur to Tinsukia
From INR 475",https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,07h 40m,05:10,600,N/A,4 Seats available
"Tezpur to Tinsukia
From INR 475",https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,Puja Transport,NON AC Seater / Sleeper 2+1,20:00,09h 30m,05:30,600,2.3,4 Seats available
"Tezpur to Tinsukia
From INR 475",https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,Puja Transport,Non AC Seater (2+2),20:00,10h 00m,06:00,550,3.6,17 Seats available
"Dibrugarh to Bokakhat
From INR 278",https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Baikuntha Transport Service,Bharat Benz A/C Sleeper (2+1),19:30,05h 30m,01:00,540,3.9,18 Seats available
"Dibrugarh to Bokakhat
From INR 278",https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Purple Wings Coaches,A/C Seater / Sleeper (2+1),19:55,05h 20m,01:15,585,3.4,3 Seats available
"Dibrugarh to Bokakhat
From INR 278",https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Shree Ram Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:45,04h 55m,01:40,530,4.8,3 Seats available
