route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,RSRTC - 192344,Super Luxury Volvo AC Seater Pushback 2+2,03:00,11h 00m,14:00,1103,3.7,33 Seats available
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),23:00,09h 00m,08:00,495,4.8,30 Seats available
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,08h 20m,07:45,523,4.5,38 Seats available
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33 Seats available
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,09h 30m,02:00,1103,3.8,31 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,08h 00m,05:30,531,4.8,26 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,08h 00m,04:30,569,4.4,50 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31 Seats available
