route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,08h 10m,06:10,999,4.5,40 Seats available
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,700,4.4,29 Seats available
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,599,4.2,40 Seats available
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29 Seats available
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19 Seats available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Jacobs Travels,A/C Semi Sleeper (2+2),00:10,03h 50m,04:00,749,3.0,3 Seats available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Madhavi Travels,A/C Semi Sleeper (2+2),00:15,06h 00m,06:15,549,4.1,1 Seat available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Madhavi Travels,A/C Sleeper (2+1),00:25,05h 45m,06:10,799,4.2,1 Seat available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,UFO Bus,N/A,00:30,05h 00m,05:30,650,3.9,6 Seats available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 Seats available
"Kozhikode to Bangalore
From INR 411",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,MMK Travels,VE A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,999,4.4,19 Seats available
"Kozhikode to Bangalore
From INR 411",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,08h 45m,21:00,799,4.4,35 Seats available
"Kozhikode to Bangalore
From INR 411",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,DLT BUS,A/C Sleeper (2+1),21:45,08h 45m,06:30,1100,4.2,11 Seats available
"Kozhikode to Bangalore
From INR 411",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25 Seats available
"Kozhikode to Bangalore
From INR 411",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10 Seats available
"Ernakulam to Kozhikode
From INR 193",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,A1 Travels,A/C Seater / Sleeper (2+1),01:30,05h 30m,07:00,700,3.0,6 Seats available
"Ernakulam to Kozhikode
From INR 193",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Shajees Motors,A/C Semi Sleeper (2+2),19:30,05h 10m,00:40,600,3.6,27 Seats available
"Ernakulam to Kozhikode
From INR 193",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ubc travels,A/C Semi Sleeper (2+2),20:40,04h 20m,01:00,700,3.3,36 Seats available
"Ernakulam to Kozhikode
From INR 193",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ubc travels,A/C Seater/Sleeper (2+1),20:45,06h 15m,03:00,900,4.0,38 Seats available
"Ernakulam to Kozhikode
From INR 193",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22 Seats available
"Kozhikode to Mysore
From INR 147",https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,06h 30m,18:45,599,4.6,36 Seats available
"Kozhikode to Mysore
From INR 147",https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Suraj Holidays,VE A/C Sleeper (2+1),22:00,07h 00m,05:00,1150,4.8,27 Seats available
"Kozhikode to Mysore
From INR 147",https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),03:30,05h 30m,09:00,600,2.7,11 Seats available
"Kozhikode to Mysore
From INR 147",https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Orange Tours And Travels,N/A,14:00,06h 30m,20:30,1200,3.4,27 Seats available
"Kozhikode to Mysore
From INR 147",https://www.redbus.in/bus-tickets/kozhikode-to-mysore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14 Seats available
"Kozhikode to Thiruvananthapuram
From INR 215",https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,BLM Transports,A/C Sleeper (2+1),22:00,09h 00m,07:00,903,4.0,28 Seats available
"Kozhikode to Thiruvananthapuram
From INR 215",https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,A1 Travels,A/C Seater / Sleeper (2+1),20:05,09h 25m,05:30,700,3.8,36 Seats available
"Kozhikode to Thiruvananthapuram
From INR 215",https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,09h 00m,06:00,600,3.7,34 Seats available
"Kozhikode to Thiruvananthapuram
From INR 215",https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14 Seats available
"Kozhikode to Thiruvananthapuram
From INR 215",https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18 Seats available
"Bangalore to Kalpetta (kerala)
From INR 357",https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,08h 20m,07:20,599,4.6,40 Seats available
