route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Pune to Goa
From INR 900",https://www.redbus.in/bus-tickets/pune-to-goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,10h 35m,05:50,900,3.7,16 Seats available
"Pune to Goa
From INR 900",https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,601,4.7,20 Seats available
"Pune to Goa
From INR 900",https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,599,4.5,25 Seats available
"Pune to Goa
From INR 900",https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,11h 30m,08:00,800,4.5,24 Seats available
"Pune to Goa
From INR 900",https://www.redbus.in/bus-tickets/pune-to-goa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32 Seats available
"Goa to Pune
From INR 800",https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,VE A/C Sleeper (2+1),21:32,08h 50m,06:22,999,4.7,17 Seats available
"Goa to Pune
From INR 800",https://www.redbus.in/bus-tickets/goa-to-pune,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 40m,09:10,999,4.8,24 Seats available
"Goa to Pune
From INR 800",https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,11h 30m,10:00,710,4.5,18 Seats available
"Goa to Pune
From INR 800",https://www.redbus.in/bus-tickets/goa-to-pune,IntrCity SmartBus,AC Sleeper (2+1),20:00,11h 30m,07:30,717,4.3,20 Seats available
"Goa to Pune
From INR 800",https://www.redbus.in/bus-tickets/goa-to-pune,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15 Seats available
"Mumbai to Goa
From INR 800",https://www.redbus.in/bus-tickets/mumbai-to-goa,Kadamba Transport Corporation Limited (KTCL) - 97386,Volvo AC Seater Pushback 2+2,17:05,12h 55m,06:00,700,3.8,18 Seats available
"Mumbai to Goa
From INR 800",https://www.redbus.in/bus-tickets/mumbai-to-goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),17:00,17h 00m,10:00,694,4.6,24 Seats available
"Mumbai to Goa
From INR 800",https://www.redbus.in/bus-tickets/mumbai-to-goa,Zingbus Plus,VE A/C Sleeper (2+1),20:00,16h 25m,12:25,592,4.6,21 Seats available
"Mumbai to Goa
From INR 800",https://www.redbus.in/bus-tickets/mumbai-to-goa,AdVaibhav travels,A/C Sleeper (2+1),18:00,18h 00m,12:00,925,3.7,36 Seats available
"Mumbai to Goa
From INR 800",https://www.redbus.in/bus-tickets/mumbai-to-goa,IntrCity SmartBus,AC Sleeper (2+1),17:00,15h 15m,08:15,599,4.3,24 Seats available
"Goa to Mumbai
From INR 900",https://www.redbus.in/bus-tickets/goa-to-mumbai,IntrCity SmartBus,AC Sleeper (2+1),19:30,14h 10m,09:40,899,4.6,15 Seats available
