route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),00:40,04h 50m,05:30,675,3.5,41 Seats available
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),01:10,04h 50m,06:00,650,3.5,1 Seat available
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Shri Ganesh Travels,A/C Seater / Sleeper (2+1),01:30,03h 30m,05:00,600,3.8,9 Seats available
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,V k jain travels,NON A/C Seater/ Sleeper (2+1),08:45,05h 05m,13:50,330,3.0,24 Seats available
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,M R Travels,A/C Seater / Sleeper (2+1),01:10,03h 30m,04:40,500,3.8,15 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),01:15,03h 00m,04:15,500,3.3,36 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,Jain travels regd,A/C Seater / Sleeper (2+1),01:25,04h 30m,05:55,500,3.5,42 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,Jain travels regd,NON AC Seater / Sleeper 2+1,01:36,04h 36m,06:12,350,3.5,11 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,PAL BUS(Patel Travels®),N/A,02:05,03h 25m,05:30,N/A,N/A,32 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),06:00,04h 25m,10:25,475,4.7,28 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),06:15,04h 30m,10:45,550,4.5,19 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,M R Travels,Volvo Multi-Axle A/C seater/sleeper (2+1),17:10,04h 45m,21:55,600,4.4,55 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19 Seats available
"Jaipur (Rajasthan) to Jodhpur
From INR 356",https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Gajraj Travels,A/C Sleeper (2+1),22:15,07h 20m,05:35,600,4.6,28 Seats available
"Jaipur (Rajasthan) to Jodhpur
From INR 356",https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jain travels regd,A/C Seater / Sleeper (2+1),22:30,06h 35m,05:05,450,4.5,42 Seats available
