route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),03:00,03h 00m,06:00,380,3.8,6 Seats available
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Volvo A/C Seater (2+2),07:35,02h 10m,09:45,429,4.4,2 Seats available
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),07:40,02h 20m,10:00,429,3.3,1 Seat available
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),07:55,02h 20m,10:15,429,4.4,8 Seats available
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),06:00,02h 00m,08:00,429,4.4,17 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),06:15,02h 00m,08:15,429,4.6,17 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),06:30,02h 00m,08:30,429,4.9,23 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Pammi Travels,Non A/C Seater / Sleeper (2+1),02:00,04h 00m,06:00,570,3.7,6 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),02:00,04h 00m,06:00,463,4.2,6 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),N/A,06:20,03h 10m,09:30,486,4.3,2 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Seat available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Seat available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Gogol City Service,AC Seater (2+3),12:50,02h 45m,15:35,148,4.3,56 Seats available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Gogol City Service,AC Seater (2+3),13:30,02h 45m,16:15,143,4.3,45 Seats available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,KRISHNAKALI,A/C Seater (2+3),14:45,02h 45m,17:30,157,3.2,60 Seats available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Diamond City Service,A/C Executive (2+3),15:10,03h 45m,18:55,153,4.5,46 Seats available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61 Seats available
"Haldia to Kolkata
From INR 110",https://www.redbus.in/bus-tickets/haldia-to-kolkata,WBTC (CTC) Habra- Barasat- Haldia - 180|16:45,Non AC Seater (2+3),16:45,02h 45m,19:30,97,3.5,49 Seats available
"Haldia to Kolkata
From INR 110",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Droupadi Paribahan,A/C Seater (2+3),06:10,02h 50m,09:00,160,3.3,24 Seats available
"Haldia to Kolkata
From INR 110",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Droupadi City Service,A/C Seater (2+3),07:00,02h 35m,09:35,160,3.5,40 Seats available
"Haldia to Kolkata
From INR 110",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Droupadi Bus Service,Non AC Seater (2+3),07:15,03h 00m,10:15,121,3.7,53 Seats available
"Haldia to Kolkata
From INR 110",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Gogol City Service,N/A,07:50,02h 55m,10:45,148,4.0,29 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),06:00,03h 15m,09:15,486,4.7,9 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),06:15,03h 15m,09:30,486,4.5,17 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Shyamoli Paribahan Pvt Ltd,N/A,06:30,03h 15m,09:45,486,4.2,24 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - BISHNUPUR - VIA - ARAMBAG - 06:25 (ARM D - 3610,Non AC Seater (2+3),06:25,02h 30m,08:55,76,3.4,39 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 07:30 - 574,Non AC Seater (2+3),07:30,02h 30m,10:00,95,4.3,44 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 08:30 - 575,Non AC Seater (2+3),08:30,02h 30m,11:00,95,4.0,47 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - 09:30 (ARM DEPOT) - 1909,Non AC Seater (2+3),09:30,02h 30m,12:00,95,4.3,50 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - 10:30 (ARM DEPOT) - 1310,Non AC Seater (2+3),10:30,02h 30m,13:00,95,4.1,52 Seats available
"Digha to Kolkata
From INR 153",https://www.redbus.in/bus-tickets/digha-to-kolkata,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),13:45,04h 30m,18:15,499,4.7,8 Seats available
"Digha to Kolkata
From INR 153",https://www.redbus.in/bus-tickets/digha-to-kolkata,Express Line,Volvo 9600 A/C Seater (2+2),10:25,04h 55m,15:20,599,4.5,6 Seats available
"Digha to Kolkata
From INR 153",https://www.redbus.in/bus-tickets/digha-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20 Seats available
"Digha to Kolkata
From INR 153",https://www.redbus.in/bus-tickets/digha-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9 Seats available
"Digha to Kolkata
From INR 153",https://www.redbus.in/bus-tickets/digha-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19 Seats available
"Kolkata to Digha
From INR 154",https://www.redbus.in/bus-tickets/kolkata-to-digha,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),07:30,04h 25m,11:55,349,4.6,31 Seats available
"Kolkata to Digha
From INR 154",https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),08:15,04h 30m,12:45,400,4.5,16 Seats available
