route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),00:40,04h 20m,05:00,610,3.6,2 Seats available
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Sai Balaji Travels,A/C Sleeper (2+1),01:30,03h 30m,05:00,699,N/A,17 Seats available
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Rama Travels,A/C Seater / Sleeper (2+1),01:30,05h 15m,06:45,777,3.5,7 Seats available
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Mythri Tours And Travels,N/A,02:00,04h 30m,06:30,699,4.8,6 Seats available
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06h 31m,06:30,676,4.8,32 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,05h 45m,05:35,404,4.6,42 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),11:00,06h 40m,17:40,450,4.7,40 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38 Seats available
"Hyderabad to Khammam
From INR 281",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),03:20,04h 10m,07:30,890,3.8,19 Seats available
"Hyderabad to Khammam
From INR 281",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:30,06h 00m,00:30,555,4.2,29 Seats available
