route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,06h 20m,23:20,649,3.1,34 Seats available
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:00,06h 10m,01:10,799,3.5,25 Seats available
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),23:59,06h 06m,06:05,759,4.4,33 Seats available
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Seater / Sleeper (2+1),23:45,05h 15m,05:00,800,3.3,11 Seats available
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0082,Ordinary Non AC Seater 2+3,04:28,03h 24m,07:52,203,3.3,52 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0086,Ordinary Non AC Seater 2+3,07:13,03h 20m,10:33,203,3.3,52 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0104,Ordinary Non AC Seater 2+3,07:30,03h 20m,10:50,203,N/A,52 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0112,Ordinary Non AC Seater 2+3,07:59,03h 21m,11:20,203,3.3,52 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0008,Janrath AC Seater 2+2,08:00,03h 00m,11:00,304,3.4,13 Seats available
