route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Pammi Travels,Non A/C Seater / Sleeper (2+1),02:00,04h 00m,06:00,570,3.7,6 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),02:00,04h 00m,06:00,463,4.2,6 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),N/A,06:20,03h 10m,09:30,486,4.3,2 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Seat available
"Durgapur (West Bengal) to Kolkata
From INR 135",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Seat available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Santosh Bus Service,A/C Seater Push Back (2+3),11:25,05h 05m,16:30,435,4.1,1 Seat available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Snemita Parisheba(Santosh),AC Seater (2+3),11:30,04h 50m,16:20,399,3.1,4 Seats available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,City Express,AC Seater (2+3),11:35,05h 21m,16:56,420,4.3,6 Seats available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 Seats available
"Digha to Barasat (West Bengal)
From INR 161",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14 Seats available
"Barasat (West Bengal) to Digha
From INR 161",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Aradhana Travels,Non AC Seater (2+3),01:00,06h 00m,07:00,475,3.5,18 Seats available
"Barasat (West Bengal) to Digha
From INR 161",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,The Joy Ride,A/C Seater / Sleeper (2+2),01:05,05h 55m,07:00,700,3.2,15 Seats available
"Barasat (West Bengal) to Digha
From INR 161",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Satya Paribahan,A/C Executive (2+3),03:30,06h 00m,09:30,342,3.7,35 Seats available
"Barasat (West Bengal) to Digha
From INR 161",https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26 Seats available
